city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,timezone
Casa Loma,Casa Loma,CA,California,6029,Kern,35.3433,-118.9987,America/Los_Angeles
Midway,Midway,FL,Florida,12117,Seminole,28.7924,-81.2314,America/New_York
Poplar Plains,Poplar Plains,CT,Connecticut,9190,Western Connecticut,41.1714,-73.3771,America/New_York
Salisbury,Salisbury,MO,Missouri,29041,Chariton,39.4233,-92.8025,America/Chicago
San Felipe Pueblo,San Felipe Pueblo,NM,New Mexico,35043,Sandoval,35.4338,-106.425,America/Denver
Barrackville,Barrackville,WV,West Virginia,54049,Marion,39.5014,-80.1696,America/New_York
Aurora,Aurora,SD,South Dakota,46011,Brookings,44.2823,-96.6868,America/Chicago
Columbus AFB,Columbus AFB,MS,Mississippi,28087,Lowndes,33.6276,-88.4454,America/Chicago
South Wilton,South Wilton,CT,Connecticut,9190,Western Connecticut,41.173,-73.4166,America/New_York
University of Pittsburgh Johnstown,University of Pittsburgh Johnstown,PA,Pennsylvania,42021,Cambria,40.2626,-78.8297,America/New_York
Strawberry Point,Strawberry Point,IA,Iowa,19043,Clayton,42.6805,-91.5349,America/Chicago
La Cygne,La Cygne,KS,Kansas,20107,Linn,38.3479,-94.7613,America/Chicago
Shoemakersville,Shoemakersville,PA,Pennsylvania,42011,Berks,40.5004,-75.97,America/New_York
Bonduel,Bonduel,WI,Wisconsin,55115,Shawano,44.7383,-88.4476,America/Chicago
Laflin,Laflin,PA,Pennsylvania,42079,Luzerne,41.2898,-75.7943,America/New_York
Dale,Dale,IN,Indiana,18147,Spencer,38.1769,-86.9802,America/Chicago
Ladera,Ladera,CA,California,6081,San Mateo,37.3999,-122.1989,America/Los_Angeles
Daleville,Daleville,IN,Indiana,18035,Delaware,40.1187,-85.5567,America/Indiana/Indianapolis
Nescopeck,Nescopeck,PA,Pennsylvania,42079,Luzerne,41.053,-76.2123,America/New_York
Dallesport,Dallesport,WA,Washington,53039,Klickitat,45.6316,-121.1749,America/Los_Angeles
Atkinson,Atkinson,NE,Nebraska,31089,Holt,42.5309,-98.9747,America/Chicago
Ronceverte,Ronceverte,WV,West Virginia,54025,Greenbrier,37.7503,-80.4715,America/New_York
Millbourne,Millbourne,PA,Pennsylvania,42045,Delaware,39.9637,-75.2528,America/New_York
Descanso,Descanso,CA,California,6073,San Diego,32.8696,-116.6279,America/Los_Angeles
Chesterfield,Chesterfield,SC,South Carolina,45025,Chesterfield,34.733,-80.0778,America/New_York
Bronson,Bronson,FL,Florida,12075,Levy,29.4501,-82.6391,America/New_York
Clyde,Clyde,NC,North Carolina,37087,Haywood,35.533,-82.9108,America/New_York
Keshena,Keshena,WI,Wisconsin,55078,Menominee,44.8697,-88.6002,America/Chicago
Greenland,Greenland,AR,Arkansas,5143,Washington,35.9963,-94.19,America/Chicago
Locust Grove,Locust Grove,OK,Oklahoma,40097,Mayes,36.1982,-95.1689,America/Chicago
West Hills,West Hills,PA,Pennsylvania,42005,Armstrong,40.8291,-79.5452,America/New_York
Rainelle,Rainelle,WV,West Virginia,54025,Greenbrier,37.9678,-80.7718,America/New_York
Springmont,Springmont,PA,Pennsylvania,42011,Berks,40.3274,-76.0042,America/New_York
Nebo,Nebo,NC,North Carolina,37111,McDowell,35.7106,-81.918,America/New_York
Burkesville,Burkesville,KY,Kentucky,21057,Cumberland,36.7906,-85.3675,America/Chicago
Deadwood,Deadwood,SD,South Dakota,46081,Lawrence,44.3871,-103.7207,America/Denver
Niagara,Niagara,WI,Wisconsin,55075,Marinette,45.7801,-87.9991,America/Menominee
Georgiana,Georgiana,AL,Alabama,1013,Butler,31.6391,-86.7468,America/Chicago
Falkville,Falkville,AL,Alabama,1103,Morgan,34.3793,-86.9086,America/Chicago
Lakeshire,Lakeshire,MO,Missouri,29189,St. Louis,38.54,-90.3384,America/Chicago
Taos Pueblo,Taos Pueblo,NM,New Mexico,35055,Taos,36.4657,-105.5634,America/Denver
Purdy,Purdy,WA,Washington,53053,Pierce,47.3934,-122.6117,America/Los_Angeles
La Honda,La Honda,CA,California,6081,San Mateo,37.3182,-122.2651,America/Los_Angeles
Bratenahl,Bratenahl,OH,Ohio,39035,Cuyahoga,41.5538,-81.6055,America/New_York
Newark,Newark,AR,Arkansas,5063,Independence,35.7076,-91.4434,America/Chicago
William Paterson University of New Jersey,William Paterson University of New Jersey,NJ,New Jersey,34031,Passaic,40.9478,-74.1989,America/New_York
Montgomery,Montgomery,PA,Pennsylvania,42081,Lycoming,41.171,-76.8738,America/New_York
New Rockford,New Rockford,ND,North Dakota,38027,Eddy,47.6798,-99.1377,America/Chicago
Haven,Haven,KS,Kansas,20155,Reno,37.9016,-97.7831,America/Chicago
Minneota,Minneota,MN,Minnesota,27083,Lyon,44.5625,-95.9827,America/Chicago
East Canton,East Canton,OH,Ohio,39151,Stark,40.7889,-81.285,America/New_York
North Bennington,North Bennington,VT,Vermont,50003,Bennington,42.924,-73.2411,America/New_York
Alum Creek,Alum Creek,WV,West Virginia,54043,Lincoln,38.2875,-81.833,America/New_York
Big Bass Lake,Big Bass Lake,PA,Pennsylvania,42069,Lackawanna,41.2525,-75.4795,America/New_York
Halsey,Halsey,OR,Oregon,41043,Linn,44.3827,-123.111,America/Los_Angeles
Cibecue,Cibecue,AZ,Arizona,4017,Navajo,34.0332,-110.4854,America/Phoenix
Kemp,Kemp,TX,Texas,48257,Kaufman,32.4351,-96.224,America/Chicago
Harwich Center,Harwich Center,MA,Massachusetts,25001,Barnstable,41.6923,-70.0694,America/New_York
Mountain Road,Mountain Road,VA,Virginia,51083,Halifax,36.7585,-78.989,America/New_York
Hampton,Hampton,TN,Tennessee,47019,Carter,36.2772,-82.1728,America/New_York
Dunlap,Dunlap,IA,Iowa,19085,Harrison,41.8523,-95.6009,America/Chicago
Bridgehampton,Bridgehampton,NY,New York,36103,Suffolk,40.9427,-72.3101,America/New_York
Cascade Locks,Cascade Locks,OR,Oregon,41027,Hood River,45.6763,-121.8719,America/Los_Angeles
Mount Gay-Shamrock,Mount Gay-Shamrock,WV,West Virginia,54045,Logan,37.8512,-82.023,America/New_York
Glencoe,Glencoe,FL,Florida,12127,Volusia,29.0005,-80.9604,America/New_York
South Woodstock,South Woodstock,CT,Connecticut,9150,Northeastern Connecticut,41.9312,-71.9555,America/New_York
Bracey,Bracey,VA,Virginia,51117,Mecklenburg,36.5762,-78.1107,America/New_York
Lake Riverside,Lake Riverside,CA,California,6065,Riverside,33.5173,-116.8107,America/Los_Angeles
Inman,Inman,KS,Kansas,20113,McPherson,38.2323,-97.7715,America/Chicago
Patton Village,Patton Village,TX,Texas,48339,Montgomery,30.1954,-95.1643,America/Chicago
Hanna City,Hanna City,IL,Illinois,17143,Peoria,40.6936,-89.8059,America/Chicago
Dunlap,Dunlap,IL,Illinois,17143,Peoria,40.848,-89.6719,America/Chicago
Bedford,Bedford,IA,Iowa,19173,Taylor,40.6711,-94.724,America/Chicago
Hayfield,Hayfield,MN,Minnesota,27039,Dodge,43.8902,-92.8471,America/Chicago
Broadway,Broadway,NC,North Carolina,37105,Lee,35.4579,-79.0547,America/New_York
Rock Spring,Rock Spring,GA,Georgia,13295,Walker,34.8147,-85.2389,America/New_York
Shepherd,Shepherd,MI,Michigan,26073,Isabella,43.5235,-84.6927,America/Detroit
Clio,Clio,AL,Alabama,1005,Barbour,31.7085,-85.6109,America/Chicago
Shell Knob,Shell Knob,MO,Missouri,29009,Barry,36.609,-93.5967,America/Chicago
Manly,Manly,IA,Iowa,19195,Worth,43.2883,-93.2008,America/Chicago
Thorndale,Thorndale,TX,Texas,48331,Milam,30.6141,-97.2068,America/Chicago
Guthrie,Guthrie,KY,Kentucky,21219,Todd,36.6503,-87.1735,America/Chicago
Ceresco,Ceresco,NE,Nebraska,31155,Saunders,41.058,-96.6459,America/Chicago
Omao,Omao,HI,Hawaii,15007,Kauai,21.9236,-159.4814,Pacific/Honolulu
Pine Prairie,Pine Prairie,LA,Louisiana,22039,Evangeline,30.7818,-92.4223,America/Chicago
Nederland,Nederland,CO,Colorado,8013,Boulder,39.9633,-105.5071,America/Denver
Kenton,Kenton,TN,Tennessee,47053,Gibson,36.2021,-89.0155,America/Chicago
Loving,Loving,NM,New Mexico,35015,Eddy,32.2862,-104.0976,America/Denver
Grace,Grace,ID,Idaho,16029,Caribou,42.5756,-111.73,America/Boise
Beesleys Point,Beesleys Point,NJ,New Jersey,34009,Cape May,39.2777,-74.6333,America/New_York
Breckenridge,Breckenridge,MI,Michigan,26057,Gratiot,43.4074,-84.4784,America/Detroit
Audubon Park,Audubon Park,KY,Kentucky,21111,Jefferson,38.205,-85.727,America/New_York
Twin Grove,Twin Grove,IL,Illinois,17113,McLean,40.4857,-89.0993,America/Chicago
South Windham,South Windham,CT,Connecticut,9180,Southeastern Connecticut,41.685,-72.1845,America/New_York
Prudenville,Prudenville,MI,Michigan,26143,Roscommon,44.3013,-84.6654,America/Detroit
China Spring,China Spring,TX,Texas,48309,McLennan,31.6492,-97.3048,America/Chicago
Boswell,Boswell,PA,Pennsylvania,42111,Somerset,40.1615,-79.0274,America/New_York
